Miscellaneous Statistical
Information
This page intentionally left blank
P RIORITIES,,,,,
The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as
reported by the departments.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,Going,Going
forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct
priority.,,,,,
,&z ϮϬϭϯ,ůů &ƵŶĚƐ,,,
,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ƌĞĂ,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕,,,,
,DŽďŝůŝƚLJ ĂŶĚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,,
,ŽŶŶĞĐƚŝǀŝƚLJ͕ Ϯ͘ρй,ĂŶĚ tŽƌŬĨŽƌĐĞ,ĂŶĚ tŽƌŬĨŽƌĐĞ,,
,,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,,
,,,ŶǀŝƌŽŶŵĞŶƚĂů,,
,,,^ƵƐƚĂŝŶĂďŝůŝƚLJ͕ ϭ͘εй,,
,tĞůůͲDĂŶĂŐĞĚ,,,,
,'ŽǀĞƌŶŵĞŶƚ͕ Ϯϳй,,,,
,,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ͕,,,
,,ϯϮ͘Θй,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ",,,,
,/ŶĐůƵƐŝǀĞ,,,,
,ŽŵŵƵŶŝƚŝĞƐ͕ ϯϮ͘Ϭй,,,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕ DŽďŝůŝƚLJ ĂŶĚ ŽŶŶĞĐƚŝǀŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,,
,ŶǀŝƌŽŶŵĞŶƚĂů ^ƵƐƚĂŝŶĂďŝůŝƚLJ,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ /ŶĐůƵƐŝǀĞ ŽŵŵƵŶŝƚŝĞƐ",tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,,
,,,,Priorities,485
The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,They are separated into six
,ABC Board regulations);,
•,"Six community parks (10 acres in size or larger, which support a variety of both active and passive activities);",
•,"37 neighborhood active parks (usually 10 acres or less, that provide some type of recreational component for","37 neighborhood active parks (usually 10 acres or less, that provide some type of recreational component for"
,active play);,
•,"27 neighborhood passive parks (usually 10 acres or less, with no active play component or equipment)",
•,12 dog parks,
Number of community centers: 20,,
Number of public pools: 4,,
"Number of libraries: 1 anchor branch, 10 branches and one bookmobile",,
Number of major venues for public performances: 7,,
Home to the first cruise terminal in Virginia,,
Established the first light rail system in Virginia,,
•,Systems runs a total length of 7.4 miles,
•,Total of 11 stations with 4 park-and-ride lots,
,Miscellaneous Statistical Information,509
ECONOMIC AND DEMOGRAPHIC FACTORS,ECONOMIC AND DEMOGRAPHIC FACTORS,ECONOMIC AND DEMOGRAPHIC FACTORS,ECONOMIC AND DEMOGRAPHIC FACTORS,,,
ASSESSED VALUE OF TAXABLE PROPERTY,ASSESSED VALUE OF TAXABLE PROPERTY,ASSESSED VALUE OF TAXABLE PROPERTY,ASSESSED VALUE OF TAXABLE PROPERTY,,,
Table 1: Assessed Valuations of Taxable Property 2001-2010 (In thousands),Table 1: Assessed Valuations of Taxable Property 2001-2010 (In thousands),Table 1: Assessed Valuations of Taxable Property 2001-2010 (In thousands),Table 1: Assessed Valuations of Taxable Property 2001-2010 (In thousands),Table 1: Assessed Valuations of Taxable Property 2001-2010 (In thousands),,
,,,,,Total Taxable,Total Taxable
,Year,Real Property,Personal Property,Other Property,,
,,,,,Assessed Value,Assessed Value
,2001,"$8,458,281","$1,232,852","$232,377","$9,923,510","$9,923,510"
,2002,"$8,882,064","$1,273,647","$281,182","$10,436,893","$10,436,893"
,2003,"$9,356,760","$1,311,951","$271,046","$10,939,757","$10,939,757"
,2004,"$10,029,639","$1,503,713","$281,578","$11,814,930","$11,814,930"
,2005,"$10,960,812","$1,569,991","$305,154","$12,835,957","$12,835,957"
,2006,"$12,691,527","$1,655,021","$316,863","$14,663,411","$14,663,411"
,2007,"$15,607,512","$1,687,318","$324,387","$17,619,217","$17,619,217"
,2008,"$18,401,851","$1,983,503","$193,287","$20,578,641","$20,578,641"
,2009,"$19,397,795","$1,676,811","$233,703","$21,308,309","$21,308,309"
,2010,"$19,940,273","$1,610,680","$226,801","$21,777,754","$21,777,754"
,2011,"$19,320,642","$1,832,276","$230,756","$21,383,647","$21,383,647"
Source: City of Norfolk 2011 Comprehensive Annual Financial Report (CAFR),Source: City of Norfolk 2011 Comprehensive Annual Financial Report (CAFR),Source: City of Norfolk 2011 Comprehensive Annual Financial Report (CAFR),Source: City of Norfolk 2011 Comprehensive Annual Financial Report (CAFR),,,
ASSESSED PROPERTY VALUE CHANGE,ASSESSED PROPERTY VALUE CHANGE,ASSESSED PROPERTY VALUE CHANGE,ASSESSED PROPERTY VALUE CHANGE,,,
Table 2: Proposed Assessed Value Change From 7/1/11 to 7/1/12 By Property Class*,Table 2: Proposed Assessed Value Change From 7/1/11 to 7/1/12 By Property Class*,Table 2: Proposed Assessed Value Change From 7/1/11 to 7/1/12 By Property Class*,Table 2: Proposed Assessed Value Change From 7/1/11 to 7/1/12 By Property Class*,Table 2: Proposed Assessed Value Change From 7/1/11 to 7/1/12 By Property Class*,,
,,"July 1, 2011","July 1, 2011",Proposed Values,,
Property Class,Property Class,,,,$ Difference,% Difference
,,,FY 2012,"July 1, 2012",,
Residential,Residential,"12,052,092,600","12,052,092,600","11,542,917,900","-509,174,700",-4.22%
Commercial,Commercial,"1,185,371,700","1,185,371,700","1,120,191,800","-65,179,900",-5.50%
Manufacturing,Manufacturing,"512,084,400","512,084,400","513,454,000","1,369,600",0.27%
IN99 Commercial,IN99 Commercial,"2,263,761,500","2,263,761,500","2,228,578,400","-35,183,100",-1.55%
Apartments &,Apartments &,,,,,
,,"1,451,404,500","1,451,404,500","1,575,484,300","124,079,800",8.55%
Coops,Coops,,,,,
Vacant Land,Vacant Land,"372,358,900","372,358,900","346,742,400","-25,616,500",-6.88%
Totals,Totals,"17,837,073,600","17,837,073,600","17,327,368,800","-509,704,800",-2.86%
"** The proposed values for July 1, 2012 include permit values for 4th quarter FY 2012.","** The proposed values for July 1, 2012 include permit values for 4th quarter FY 2012.","** The proposed values for July 1, 2012 include permit values for 4th quarter FY 2012.","** The proposed values for July 1, 2012 include permit values for 4th quarter FY 2012.","** The proposed values for July 1, 2012 include permit values for 4th quarter FY 2012.",,
510,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,,,
PRINCIPAL TAXPAYERS,PRINCIPAL TAXPAYERS,,,,
Table 3: Principal Property Taxpayers in 2011,Table 3: Principal Property Taxpayers in 2011,Table 3: Principal Property Taxpayers in 2011,,,
,,,Real Property Taxable,Percentage of Total,
Rank,Rank,Taxpayer,,,
,,,Assessed Value,Assessed Value,
,1,Virginia Power Co.,"$270,009,241",1.40%,
,,MacArthur Shopping Center LLC,,,
,2,,"$152,853,900",0.79%,
,,(Taubman Co.),,,
,3,Norfolk Southern Corporation,"$148,086,410",0.77%,
,4,"Verizon Virginia, Inc.","$139,564,095",0.72%,
,,Old Dominion University Real Estate,,,
,5,,"$101,124,500",0.52%,
,,Foundation,,,
,6,Bank of America,"$80,654,300",0.42%,
,7,Virginia Natural Gas,"$70,523,192",0.37%,
,8,Cox Virginia Telecom,"$62,560,511",0.32%,
,9,Dominion Tower Ltd.,"$59,652,400",0.31%,
10,10,"Norfolk Housing, LLC.","$55,511,700",0.29%,
PRINCIPAL EMPLOYERS,PRINCIPAL EMPLOYERS,,,,
Table 4: Principal Non-Governmental Employers in 2010,Table 4: Principal Non-Governmental Employers in 2010,Table 4: Principal Non-Governmental Employers in 2010,,,
•,Sentara Healthcare,Sentara Healthcare,,,
•,Old Dominion University,Old Dominion University,,,
•,Children's Hospital of the King's Daughters,Children's Hospital of the King's Daughters,,,
•,Norshipco,,,,
•,Eastern Virginia Medical School,Eastern Virginia Medical School,,,
•,Portfolio Recovery Association,Portfolio Recovery Association,,,
•,Bank of America,Bank of America,,,
•,Bon Secours DePaul Medical Center,Bon Secours DePaul Medical Center,,,
•,Walmart,,,,
•,Maersk Line Limited,Maersk Line Limited,,,
•,Tidewater Community College,Tidewater Community College,,,
•,Sentara Health Management,Sentara Health Management,,,
•,Virginia International Terminal,Virginia International Terminal,,,
•,CMA GCM America,CMA GCM America,,,
•,Tidewater Wholesale Grocery,Tidewater Wholesale Grocery,,,
•,ODU Research Foundation,ODU Research Foundation,,,
•,McDonalds,,,,
•,Colonnas Shipyard,Colonnas Shipyard,,,
"Source: Virginia Employment Commission, 3 rd Quarter 2011","Source: Virginia Employment Commission, 3 rd Quarter 2011","Source: Virginia Employment Commission, 3 rd Quarter 2011",,,
,,,Miscellaneous Statistical Information,Miscellaneous Statistical Information,511
Table 5: Employers by Size of Establishment,Table 5: Employers by Size of Establishment,,,
,Number of Employees,,Norfolk,Virginia
,0 to 4 employees,,"2,733","139,575"
,5 to 9 employees,,967,"36,988"
,10 to 19 employees,,825,"26,504"
,20 to 49 employees,,635,"19,069"
,50 to 99 employees,,219,"6,739"
,100 to 249 employees,,142,"3,659"
,250 to 499 employees,,36,970
,500 to 999 employees,,15,375
,1000 and over employees,,17,245
"Source: Virginia Employment Commission, Quarterly Census of Employment and Wages (QCEW), 4th Quarter 2011","Source: Virginia Employment Commission, Quarterly Census of Employment and Wages (QCEW), 4th Quarter 2011","Source: Virginia Employment Commission, Quarterly Census of Employment and Wages (QCEW), 4th Quarter 2011","Source: Virginia Employment Commission, Quarterly Census of Employment and Wages (QCEW), 4th Quarter 2011",
Table 6: Industry Employment Distribution,Table 6: Industry Employment Distribution,,,
,,Table 6:,,
Rank,Rank,Industry Sector,Establishments,Employees
,1,"Total, All industries","5,589","137,945"
,2,Health Care and Social Assistance,728,"22,156"
,3,Education Services,76,"14,851"
,4,"Government (Local, State, and Federal)",144,"36,377"
,5,Retail Trade,786,"11,941"
,6,Professional Scientific & Technical Service,669,"8,804"
,7,Accommodation and Food Services,555,"10,585"
,8,Transportation and Warehousing,202,"7,845"
,9,"Admin., Support, Waste Mgmt, Remediation",267,"7,107"
,10,Manufacturing,139,"6,322"
"Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program, Virginia for the 4th quarter, 2011.","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program, Virginia for the 4th quarter, 2011.","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program, Virginia for the 4th quarter, 2011.","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program, Virginia for the 4th quarter, 2011.","Source: Labor Market Statistics, Quarterly Census of Employment and Wages Program, Virginia for the 4th quarter, 2011."
512,Miscellaneous Statistical Information,,,
POPULATION AND AGE,POPULATION AND AGE,,,,,,
"As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of","As shown in Table 7, the population of the city increased by 8,400 persons in 2010, reversing four decades of"
population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,population decline. Norfolk is the second most populous city in Virginia.,,,
"Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010","Table 7: Population Trend Comparison, 1960-2010",,,,
Year,City of Norfolk,City of Norfolk,Commonwealth of Virginia,Commonwealth of Virginia,U.S.,,
,Number,Percent,Number,Percent,Number,Percent,
1960,"305,872",--,"3,966,949",--,"179,323,175",--,
1970,"307,951",0.68%,"4,648,494",17.2%,"203,211,926",13.32%,
1980,"266,979",-13.30%,"5,346,818",15.0%,"226,545,805",11.48%,
1990,"261,229",-2.15%,"6,187,358",15.7%,"248,709,873",9.78%,
2000,"234,403",-10.27%,"8,001,024",29.3%,"281,421,906",13.15%,
2010,"242,803",3.58%,"7,078,515",-11.5%,"308,745,538",9.71%,
"Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census","Source: U. S. Department of Commerce, Bureau of the Census; Decennial Census",,,
"Table 8: Population Distribution by Age , 1960-2010","Table 8: Population Distribution by Age , 1960-2010","Table 8: Population Distribution by Age , 1960-2010","Table 8: Population Distribution by Age , 1960-2010",,,,
Year,Population,% Under 20,% Under 20,% 20 to 64,% 65 and over,Median Age,
1960,"305,872",,39.8%,54.5%,5.7%,N/A,
1970,"307,951",,35.4%,57.8%,6.8%,N/A,
1980,"266,979",,30.7%,60.1%,9.2%,N/A,
1990,"261,229",,28.2%,61.5%,10.5%,N/A,
2000,"234,403",,28.6%,60.5%,10.9%,29.6,
2009,"233,333",,28.3%,61.8%,9.9%,29.4,
2010,"243,135",,25.0%,65.2%,9.7%,29.8,
"Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010","Sources: U. S. Department of Commerce, Bureau of the Census; American Community Survey, 2010",,
,,,,,Miscellaneous Statistical Information,Miscellaneous Statistical Information,513
STUDENT POPULATION,STUDENT POPULATION,,
"Table 9: Norfolk Public Schools Student Population, 2000-2010","Table 9: Norfolk Public Schools Student Population, 2000-2010",,
,,Average Daily Membership,
,,,Percent Change
,School Year,(March 31),
,1999-2000,"35,326",
,2000-2001,"35,000",-0.9%
,2001-2002,"34,702",-0.9%
,2002-2003,"34,349",-1.0%
,2003-2004,"34,030",-0.9%
,2004-2005,"33,708",-0.9%
,2005-2006,"33,472",-0.7%
,2006-2007,"32,929",-1.6%
,2007-2008,"32,213",-2.2%
,2008-2009,"31,639",-1.8%
,2009-2010,"31,176",-1.5%
,2010-2011,"31,020",-.50%
Source: Norfolk Public Schools; Virginia Department of Education,Source: Norfolk Public Schools; Virginia Department of Education,,
EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT,,
Table 10: Education Attainment for Persons 25 and over (2010),Table 10: Education Attainment for Persons 25 and over (2010),,
,Educational Attainment (2010),Number,Percent
,Persons 25 and over,"144,678",100.0%
,High school graduate (or higher),"123,120",85.1%
,College degree (or higher),"35,880",24.8%
,Graduate degree,"13,455",9.3%
"Source: American Community Survey, U.S. Census Bureau, 2010","Source: American Community Survey, U.S. Census Bureau, 2010",,
514,Miscellaneous Statistical Information,,
INCOME,,,,,,,,
"Table 11: Per Capita Personal Income Comparisons, 2000-2009","Table 11: Per Capita Personal Income Comparisons, 2000-2009","Table 11: Per Capita Personal Income Comparisons, 2000-2009","Table 11: Per Capita Personal Income Comparisons, 2000-2009",,,,,
Year,City of Norfolk,City of Norfolk,Hampton Roads MSA,Commonwealth of Virginia,Commonwealth of Virginia,Commonwealth of Virginia,U.S.,
2000,,"$23,472","$26,762",,,"$31,640","$30,318",
2001,,"$25,542","$28,524",,,"$33,249","$31,145",
2002,,"$26,149","$29,505",,,"$33,745","$31,462",
2003,,"$27,719","$31,053",,,"$34,979","$32,271",
2004,,"$29,154","$32,464",,,"$36,842","$33,881",
2005,,"$31,159","$34,107",,,"$38,892","$35,424",
2006,,"$33,239","$36,319",,,"$41,267","$37,698",
2007,,"$34,873","$38,135",,,"$43,158","$39,392",
2008,,"$36,065","$39,300",,,"$44,075","$40,166",
2009,,"$36,838","$39,518",,,"$44,057","$39,635",
2010,,"$35,816","$40,234",,,"$44,267","$39,937",
"Source: U.S. Department of Commerce, Bureau of Economic Analysis, Regional Economic Information System","Source: U.S. Department of Commerce, Bureau of Economic Analysis, Regional Economic Information System","Source: U.S. Department of Commerce, Bureau of Economic Analysis, Regional Economic Information System","Source: U.S. Department of Commerce, Bureau of Economic Analysis, Regional Economic Information System","Source: U.S. Department of Commerce, Bureau of Economic Analysis, Regional Economic Information System","Source: U.S. Department of Commerce, Bureau of Economic Analysis, Regional Economic Information System","Source: U.S. Department of Commerce, Bureau of Economic Analysis, Regional Economic Information System",,
Table 12: Median Household Income 2008-2010 (IN 2010 INFLATION-ADJUSTED DOLLARS),Table 12: Median Household Income 2008-2010 (IN 2010 INFLATION-ADJUSTED DOLLARS),Table 12: Median Household Income 2008-2010 (IN 2010 INFLATION-ADJUSTED DOLLARS),Table 12: Median Household Income 2008-2010 (IN 2010 INFLATION-ADJUSTED DOLLARS),Table 12: Median Household Income 2008-2010 (IN 2010 INFLATION-ADJUSTED DOLLARS),Table 12: Median Household Income 2008-2010 (IN 2010 INFLATION-ADJUSTED DOLLARS),Table 12: Median Household Income 2008-2010 (IN 2010 INFLATION-ADJUSTED DOLLARS),,
Subject,Subject,,City of Norfolk,,Commonwealth of Virginia,Commonwealth of Virginia,,
INCOME AND BENEFITS,INCOME AND BENEFITS,2008,2009,2010,2008,2009,2010,2010
,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Total households,Total households,"84,875","85,060","83,828","2,961,239","2,971,489","2,992,732","2,992,732"
"Less than $10,000","Less than $10,000",10.0%,9.2%,7.8%,5.7%,6.0%,5.9%,5.9%
"$10,000 to $14,999","$10,000 to $14,999",6.7%,5.3%,6.1%,4.4%,4.4%,4.4%,4.4%
"$15,000 to $24,999","$15,000 to $24,999",15.4%,13.0%,13.8%,8.7%,8.6%,9.1%,9.1%
"$25,000 to $34,999","$25,000 to $34,999",10.3%,12.9%,14.5%,8.6%,8.9%,9.1%,9.1%
"$35,000 to $49,999","$35,000 to $49,999",18.6%,15.1%,16.7%,13.3%,13.5%,13.2%,13.2%
"$50,000 to $74,999","$50,000 to $74,999",15.7%,19.3%,18.6%,18.0%,18.5%,17.8%,17.8%
"$75,000 to $99,999","$75,000 to $99,999",11.6%,10.3%,9.5%,13.3%,13.0%,12.6%,12.6%
"$100,000 to $149,999","$100,000 to $149,999",7.1%,8.7%,8.7%,15.1%,14.4%,15.0%,15.0%
"$150,000 to $199,999","$150,000 to $199,999",2.3%,3.3%,2.5%,6.3%,6.3%,6.5%,6.5%
"$200,000 or more","$200,000 or more",2.4%,2.9%,1.9%,6.7%,6.4%,6.3%,6.3%
Median Household Income,Median Household Income,"40,373","43,422","41,613","61,961","60,493","60,674","60,674"
Source: 2010 American Community Survey 1-Year Estimates,Source: 2010 American Community Survey 1-Year Estimates,Source: 2010 American Community Survey 1-Year Estimates,Source: 2010 American Community Survey 1-Year Estimates,,,,,
HOUSING AND CONSTRUCTION AVAILABILITY,HOUSING AND CONSTRUCTION AVAILABILITY,HOUSING AND CONSTRUCTION AVAILABILITY,HOUSING AND CONSTRUCTION AVAILABILITY,,,,,
"Table 13: New Construction and Property Values, 2000-2010","Table 13: New Construction and Property Values, 2000-2010","Table 13: New Construction and Property Values, 2000-2010","Table 13: New Construction and Property Values, 2000-2010",,,,,
,,Residential Construction,Residential Construction,,Non-Residential Construction,Non-Residential Construction,Non-Residential Construction,
Year,Building,Number of,Estimated Value,Estimated Value,Building,Estimated Value (in,Estimated Value (in,
,Permits,Units,(in thousands),(in thousands),Permits,thousands),thousands),
2000,189,309,,"32,609",45,,"138,473",
,,,,,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,515
,,,,Residential Construction,Residential Construction,Residential Construction,Residential Construction,,Non-Residential Construction,Non-Residential Construction,Non-Residential Construction,Non-Residential Construction,Non-Residential Construction
,Year,Building,Building,Number of,Number of,Estimated Value,Estimated Value,Estimated Value,Building,Building,Estimated Value (in,Estimated Value (in,Estimated Value (in
,,Permits,Permits,,Units,(in thousands),(in thousands),(in thousands),Permits,Permits,,thousands),thousands)
,2001,,186,,400,,"35,069","35,069",,35,,,"62,046"
,2002,,290,,462,,"44,498","44,498",,53,,,"51,451"
,2003,,286,,597,,"61,582","61,582",,41,,,"32,262"
,2004,,506,,766,,"83,525","83,525",,71,,,"14,658"
,2005,,560,,"1,191",,"204,391","204,391",,80,,,"80,316"
,2006,,531,,"1,058",,"133,053","133,053",,60,,,"165,989"
,2007,,389,,491,,"688,476","688,476",,55,,,"81,396"
,2008,,277,,815,,"101,212","101,212",,35,,,"102,714"
,2009,,209,,535,,"35,878","35,878",,38,,,"138,131"
,2010,,191,,621,,"58,729","58,729",,35,,,"104,922"
,2011,,221,,479,,"37,298","37,298",,27,,,"40,073"
Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,Source: City of Norfolk Department of Planning and Community Development. Figures are for the fiscal year.,
UNEMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT,,,,,,,,,,,
"Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011","Table 14: Unemployment Rate Comparisons, 2000-2011",,,,,,
,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
,City of Norfolk,City of Norfolk,4.3,5.1,5.3,5.1,5.0,4.2,4.1,5.3,8.7,9.0,8.4*
,Hampton Roads,Hampton Roads,,,,,,,,,,,
,,,3.3,4.1,4.2,4.0,3.9,3.3,3.2,4.2,7.0,7.3,7.0*
,MSA,,,,,,,,,,,,
,Commonwealth,Commonwealth,,,,,,,,,,,
,,,3.2,4.2,4.1,3.7,3.5,3.0,3.1,4.0,6.9,6.9,6.2
,of Virginia,,,,,,,,,,,,
,United States,United States,4.7,5.8,6.0,5.5,5.1,4.6,4.6,5.8,9.3,9.6,8.9
* Estimated numbers as of May 2012,* Estimated numbers as of May 2012,* Estimated numbers as of May 2012,* Estimated numbers as of May 2012,,,,,,,,,,
Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-,Sources: U.S. Bureau of Labor Statistics: Labor Force Statistics from the Current Population Survey and Local Area Un-
employment Statistics (LAUS) series,employment Statistics (LAUS) series,employment Statistics (LAUS) series,employment Statistics (LAUS) series,,,,,,,,,,
Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,Note: Not seasonally adjusted; Figures represent annual averages.,,,,,,
WAGES,WAGES,,,,,,,,,,,,
"Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011","Table 15: Average Wage Comparison Comparisons, 2011",,,,,,
,,,Total Average,Total Average,Total Average,Average Hourly,Average Hourly,Average Weekly,Average Weekly,Average Weekly,Average Annual,Average Annual,Average Annual
,,Area,,,,,,,,,,,
,,,,Employment,Employment,,Wage*,,,Wage,,,Wage*
,City of Norfolk,City of Norfolk,,"139,194","139,194",,$23.33,,,$933,,,"$48,516"
Commonwealth of,Commonwealth of,Commonwealth of,,,,,,,,,,,
,,,,"3,616,821","3,616,821",,$25.10,,,"$1,004",,,"$52,208"
,Virginia,Virginia,,,,,,,,,,,
