432152 Fed-SA FBG Co-Occurring,432152 Fed-SA FBG Co-Occurring,0,"16,801",0,"16,801"
432153 Fed-SA FBG Facil Div Alcohol,432153 Fed-SA FBG Facil Div Alcohol,0,"9,670",0,"9,670"
432155 Fed-SA FBG Prevention,432155 Fed-SA FBG Prevention,0,"166,288",0,"166,288"
432156 Fed-SA FBG SARPOS,432156 Fed-SA FBG SARPOS,0,"84,205",0,"84,205"
432157 Fed-SA FBG Women,432157 Fed-SA FBG Women,0,"143,367",0,"143,367"
Org Code 400-30-501-5013-000000-000,Org Code 400-30-501-5013-000000-000,"1,049","3,003,264",0,"2,788,264"
GovMax V5,,,,18-65,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,Budget
,,Behavioral Healthcare Svc Fund,Behavioral Healthcare Svc Fund,Behavioral Healthcare Svc Fund,
32 Intergovernmental Revenue,32 Intergovernmental Revenue,,,,
400-30-501-5014-000000-000 Prevention,400-30-501-5014-000000-000 Prevention,,,,
423170 St-Prevention-Client Fees,423170 St-Prevention-Client Fees,0,"25,000",0,"25,000"
Org Code 400-30-501-5014-000000-000,Org Code 400-30-501-5014-000000-000,0,"25,000",0,"25,000"
32 Intergovernmental Revenue,32 Intergovernmental Revenue,"9,835,660","10,107,404","10,122,064","10,829,156"
33 Charges For Services,33 Charges For Services,,,,
400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,,
413800 Svcs-MH Local Other,413800 Svcs-MH Local Other,"3,557","3,000","3,000",0
413840 Svcs-SA Local Other,413840 Svcs-SA Local Other,"24,811",0,0,"40,000"
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,"3,917",0,"250,000",0
Org Code 400-00-000-0000-000000-000,Org Code 400-00-000-0000-000000-000,"32,285","3,000","253,000","40,000"
400-30-501-5010-000000-000 Administration,400-30-501-5010-000000-000 Administration,,,,
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,0,"250,000",0,"250,000"
Org Code 400-30-501-5010-000000-000,Org Code 400-30-501-5010-000000-000,0,"250,000",0,"250,000"
400-30-501-5011-000000-000 Mental Health,400-30-501-5011-000000-000 Mental Health,,,,
413800 Svcs-MH Local Other,413800 Svcs-MH Local Other,0,0,0,"5,000"
Org Code 400-30-501-5011-000000-000,Org Code 400-30-501-5011-000000-000,0,0,0,"5,000"
,33 Charges For Services,"32,285","253,000","253,000","295,000"
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,
400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,,
417100 Investment Income-Realized,417100 Investment Income-Realized,439,0,0,0
Org Code 400-00-000-0000-000000-000,Org Code 400-00-000-0000-000000-000,439,0,0,0
34 Revenue from Use of Money,34 Revenue from Use of Money,439,0,0,0
90 Operating Transfers In,90 Operating Transfers In,,,,
400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,400-00-000-0000-000000-000 Behavioral Healthcare Svc Fund,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,"365,988","360,991","595,734",0
Org Code 400-00-000-0000-000000-000,Org Code 400-00-000-0000-000000-000,"365,988","360,991","595,734",0
400-30-501-5011-000000-000 Mental Health,400-30-501-5011-000000-000 Mental Health,,,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,0,"153,688",0,"462,088"
Org Code 400-30-501-5011-000000-000,Org Code 400-30-501-5011-000000-000,0,"153,688",0,"462,088"
400-30-501-5012-000000-000 Mental Retardation,400-30-501-5012-000000-000 Mental Retardation,400-30-501-5012-000000-000 Mental Retardation,,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,0,"23,549",0,"75,380"
Org Code 400-30-501-5012-000000-000,Org Code 400-30-501-5012-000000-000,0,"23,549",0,"75,380"
400-30-501-5013-000000-000 Substance Abuse,400-30-501-5013-000000-000 Substance Abuse,400-30-501-5013-000000-000 Substance Abuse,,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,0,"57,506",0,"154,945"
Org Code 400-30-501-5013-000000-000,Org Code 400-30-501-5013-000000-000,0,"57,506",0,"154,945"
,90 Operating Transfers In,"365,988","595,734","595,734","692,413"
400 Behavioral Healthcare Svc Fund,400 Behavioral Healthcare Svc Fund,"10,234,372","10,956,138","10,970,798","11,816,569"
GovMax V5,,,,18-66,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,Budget
,,,Public Law Library Fund,Public Law Library Fund,
33 Charges For Services,33 Charges For Services,,,,
405-00-000-0000-000000-000 Public Law Library Fund,405-00-000-0000-000000-000 Public Law Library Fund,405-00-000-0000-000000-000 Public Law Library Fund,405-00-000-0000-000000-000 Public Law Library Fund,,
413130 Fees-Library Fines,413130 Fees-Library Fines,"31,734","31,026","31,026","31,026"
Org Code 405-00-000-0000-000000-000,Org Code 405-00-000-0000-000000-000,"31,734","31,026","31,026","31,026"
,33 Charges For Services,"31,734","31,026","31,026","31,026"
,405 Public Law Library Fund,"31,734","31,026","31,026","31,026"
,,,Social Services Fund,Social Services Fund,
32 Intergovernmental Revenue,32 Intergovernmental Revenue,,,,
410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,,,
423204 St-Public Assistance Grants,423204 St-Public Assistance Grants,"15,458,510","19,669,673","19,669,673","18,659,742"
423999 St-Other Categorical,423999 St-Other Categorical,"36,975","36,975","36,975","36,975"
431120 Fed-FEMA,431120 Fed-FEMA,"9,831","25,000","25,000","25,000"
Org Code 410-00-000-0000-000000-000,Org Code 410-00-000-0000-000000-000,"15,505,316","19,731,648","19,731,648","18,721,717"
32 Intergovernmental Revenue,32 Intergovernmental Revenue,"15,505,316","19,731,648","19,731,648","18,721,717"
33 Charges For Services,33 Charges For Services,,,,
410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,,,
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,"14,803","196,981","196,981","196,981"
Org Code 410-00-000-0000-000000-000,Org Code 410-00-000-0000-000000-000,"14,803","196,981","196,981","196,981"
,33 Charges For Services,"14,803","196,981","196,981","196,981"
36 Miscellaneous Revenue,36 Miscellaneous Revenue,,,,
410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,,,
418930 C.A.R.E.S. from CSA,418930 C.A.R.E.S. from CSA,"72,737","250,000","250,000","250,000"
Org Code 410-00-000-0000-000000-000,Org Code 410-00-000-0000-000000-000,"72,737","250,000","250,000","250,000"
,36 Miscellaneous Revenue,"72,737","250,000","250,000","250,000"
40 Recovered Costs,40 Recovered Costs,,,,
410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,,,
414999 RC- Other Recovered Costs,414999 RC- Other Recovered Costs,"71,421","85,000","85,000","85,000"
Org Code 410-00-000-0000-000000-000,Org Code 410-00-000-0000-000000-000,"71,421","85,000","85,000","85,000"
,40 Recovered Costs,"71,421","85,000","85,000","85,000"
90 Operating Transfers In,90 Operating Transfers In,,,,
410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,410-00-000-0000-000000-000 Social Services Fund,,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,"5,042,639","4,772,167","4,772,167","4,772,167"
Org Code 410-00-000-0000-000000-000,Org Code 410-00-000-0000-000000-000,"5,042,639","4,772,167","4,772,167","4,772,167"
,90 Operating Transfers In,"5,042,639","4,772,167","4,772,167","4,772,167"
,410 Social Services Fund,"20,706,916","25,035,796","25,035,796","24,025,865"
GovMax V5,,,,18-67,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,Budget
,,,Community Services Fund,Community Services Fund,
32 Intergovernmental Revenue,32 Intergovernmental Revenue,,,,
415-00-000-0000-000000-000 Community Services Fund,415-00-000-0000-000000-000 Community Services Fund,415-00-000-0000-000000-000 Community Services Fund,415-00-000-0000-000000-000 Community Services Fund,,
423999 St-Other Categorical,423999 St-Other Categorical,"2,472,835","4,902,374","4,902,374","3,772,950"
Org Code 415-00-000-0000-000000-000,Org Code 415-00-000-0000-000000-000,"2,472,835","4,902,374","4,902,374","3,772,950"
32 Intergovernmental Revenue,32 Intergovernmental Revenue,"2,472,835","4,902,374","4,902,374","3,772,950"
90 Operating Transfers In,90 Operating Transfers In,,,,
415-00-000-0000-000000-000 Community Services Fund,415-00-000-0000-000000-000 Community Services Fund,415-00-000-0000-000000-000 Community Services Fund,415-00-000-0000-000000-000 Community Services Fund,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,"911,667","2,764,093","2,764,093","1,529,079"
Org Code 415-00-000-0000-000000-000,Org Code 415-00-000-0000-000000-000,"911,667","2,764,093","2,764,093","1,529,079"
,90 Operating Transfers In,"911,667","2,764,093","2,764,093","1,529,079"
415 Community Services Fund,415 Community Services Fund,"3,384,502","7,666,467","7,666,467","5,302,029"
,,Stormwater Management Fund,Stormwater Management Fund,Stormwater Management Fund,
33 Charges For Services,33 Charges For Services,,,,
420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,,
413235 Fees-Stormwater,413235 Fees-Stormwater,"6,623,560","7,511,148","7,511,148","7,511,148"
418704 Sale of Equipment,418704 Sale of Equipment,"17,677",0,0,0
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,884,0,0,0
Org Code 420-00-000-0000-000000-000,Org Code 420-00-000-0000-000000-000,"6,642,121","7,511,148","7,511,148","7,511,148"
,33 Charges For Services,"6,642,121","7,511,148","7,511,148","7,511,148"
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,
420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,,
417100 Investment Income-Realized,417100 Investment Income-Realized,827,0,0,0
Org Code 420-00-000-0000-000000-000,Org Code 420-00-000-0000-000000-000,827,0,0,0
34 Revenue from Use of Money,34 Revenue from Use of Money,827,0,0,0
99 Fund Balance,99 Fund Balance,,,,
420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,420-00-000-0000-000000-000 Stormwater Management Fund,,
390098 Budgetary Fund Balance,390098 Budgetary Fund Balance,0,0,0,"1,000,000"
Org Code 420-00-000-0000-000000-000,Org Code 420-00-000-0000-000000-000,0,0,0,"1,000,000"
,99 Fund Balance,0,0,0,"1,000,000"
420 Stormwater Management Fund,420 Stormwater Management Fund,"6,642,948","7,511,148","7,511,148","8,511,148"
,,,Willett Hall Fund,Willett Hall Fund,
33 Charges For Services,33 Charges For Services,,,,
435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,,,
413055 Fees-Concession,413055 Fees-Concession,"15,765","30,000","30,000","20,000"
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,0,"1,866","1,866","1,866"
Org Code 435-00-000-0000-000000-000,Org Code 435-00-000-0000-000000-000,"15,765","31,866","31,866","21,866"
GovMax V5,,,,18-68,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014,
Code,Revenue Description,Actual,Adopted,Amended,Budget,
,,,Willett Hall Fund,Willett Hall Fund,,
,33 Charges For Services,"15,765","31,866","31,866",,"21,866"
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,,
435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,72,0,0,,0
Org Code 435-00-000-0000-000000-000,Org Code 435-00-000-0000-000000-000,72,0,0,,0
34 Revenue from Use of Money,34 Revenue from Use of Money,72,0,0,,0
40 Recovered Costs,40 Recovered Costs,,,,,
435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,,,,
414999 RC- Other Recovered Costs,414999 RC- Other Recovered Costs,"107,747","250,000","250,000",,"125,000"
Org Code 435-00-000-0000-000000-000,Org Code 435-00-000-0000-000000-000,"107,747","250,000","250,000",,"125,000"
,40 Recovered Costs,"107,747","250,000","250,000",,"125,000"
60 Use Of Property,60 Use Of Property,,,,,
435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,,,,
417809 Rental-Other,417809 Rental-Other,"63,596","105,000","105,000",,"70,000"
Org Code 435-00-000-0000-000000-000,Org Code 435-00-000-0000-000000-000,"63,596","105,000","105,000",,"70,000"
,60 Use Of Property,"63,596","105,000","105,000",,"70,000"
90 Operating Transfers In,90 Operating Transfers In,,,,,
435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,435-00-000-0000-000000-000 Willett Hall Fund,,,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,"2,683",0,0,,"92,812"
Org Code 435-00-000-0000-000000-000,Org Code 435-00-000-0000-000000-000,"2,683",0,0,,"92,812"
,90 Operating Transfers In,"2,683",0,0,,"92,812"
,435 Willett Hall Fund,"189,863","386,866","386,866",,"309,678"
,,,Recreation Fund,Recreation Fund,,
33 Charges For Services,33 Charges For Services,,,,,
440-00-000-0000-000000-000 Recreation Fund,440-00-000-0000-000000-000 Recreation Fund,440-00-000-0000-000000-000 Recreation Fund,,,,
413185 Fees-Registr-Before & After,413185 Fees-Registr-Before & After,"625,384","600,000","600,000",,"640,437"
Org Code 440-00-000-0000-000000-000,Org Code 440-00-000-0000-000000-000,"625,384","600,000","600,000",,"640,437"
,33 Charges For Services,"625,384","600,000","600,000",,"640,437"
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,,
440-00-000-0000-000000-000 Recreation Fund,440-00-000-0000-000000-000 Recreation Fund,440-00-000-0000-000000-000 Recreation Fund,,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,41,0,0,,0
Org Code 440-00-000-0000-000000-000,Org Code 440-00-000-0000-000000-000,41,0,0,,0
34 Revenue from Use of Money,34 Revenue from Use of Money,41,0,0,,0
,440 Recreation Fund,"625,425","600,000","600,000",,"640,437"
GovMax V5,,,,,,18-69
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,Budget
,,,Cemetery Fund,Cemetery Fund,
33 Charges For Services,33 Charges For Services,,,,
500-00-000-0000-000000-000 Cemetary Fund,500-00-000-0000-000000-000 Cemetary Fund,,,,
413040 Fees-Burial,413040 Fees-Burial,0,"50,000","50,000","50,000"
Org Code 500-00-000-0000-000000-000,Org Code 500-00-000-0000-000000-000,0,"50,000","50,000","50,000"
,33 Charges For Services,0,"50,000","50,000","50,000"
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,
500-00-000-0000-000000-000 Cemetary Fund,500-00-000-0000-000000-000 Cemetary Fund,,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,0,"50,000","50,000","50,000"
Org Code 500-00-000-0000-000000-000,Org Code 500-00-000-0000-000000-000,0,"50,000","50,000","50,000"
34 Revenue from Use of Money,34 Revenue from Use of Money,0,"50,000","50,000","50,000"
,500 Cemetery Fund,0,"100,000","100,000","100,000"
,,New Port Community Development Authority,New Port Community Development Authority,New Port Community Development Authority,
33 Charges For Services,33 Charges For Services,,,,
630-00-000-0000-000000-000 New Port Community Development Authority,630-00-000-0000-000000-000 New Port Community Development Authority,630-00-000-0000-000000-000 New Port Community Development Authority,630-00-000-0000-000000-000 New Port Community Development Authority,630-00-000-0000-000000-000 New Port Community Development Authority,
413330 Fees-Special Assessments,413330 Fees-Special Assessments,"1,022,550","1,022,642","1,022,642","1,019,903"
Org Code 630-00-000-0000-000000-000,Org Code 630-00-000-0000-000000-000,"1,022,550","1,022,642","1,022,642","1,019,903"
,33 Charges For Services,"1,022,550","1,022,642","1,022,642","1,019,903"
630 New Port Community Development Authority,630 New Port Community Development Authority,"1,022,550","1,022,642","1,022,642","1,019,903"
,,,Public Utility Fund,Public Utility Fund,
33 Charges For Services,33 Charges For Services,,,,
700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,,,
413105 Fees-Fire Hydrant,413105 Fees-Fire Hydrant,"324,414","299,040","299,040","310,000"
413115 Fees-Fishing Concession,413115 Fees-Fishing Concession,"1,500","2,000","2,000","1,000"
413145 Fees-On and Off Charges,413145 Fees-On and Off Charges,"345,190","400,000","400,000","375,000"
413210 Fees-Service Lines,413210 Fees-Service Lines,"176,591","120,000","120,000","100,000"
413215 Fees-Sewer Connection,413215 Fees-Sewer Connection,"29,374","60,000","60,000","60,000"
413220 Fees-Sewer Customers,413220 Fees-Sewer Customers,"8,651,355","9,511,329","9,511,329","9,511,329"
413225 Fees-Sewer Lateral & Plugging,413225 Fees-Sewer Lateral & Plugging,"1,175","2,000","2,000","2,000"
413275 Fees-Water Sales Chesap,413275 Fees-Water Sales Chesap,"281,489","292,938","292,938","292,938"
Direct,,,,,
413276 Fees-Water Sales Chesap Bulk,413276 Fees-Water Sales Chesap Bulk,"9,316,318","9,906,121","9,906,121","9,906,121"
413280 Fees-Water Sales Suffolk,413280 Fees-Water Sales Suffolk,"3,902,808","4,055,064","4,055,064","4,055,064"
413285 Fees-Water Sales Portsmouth,413285 Fees-Water Sales Portsmouth,"16,254,780","17,839,269","17,839,269","17,054,342"
418201 Late Charges,418201 Late Charges,"257,772","190,000","190,000","225,000"
418704 Sale of Equipment,418704 Sale of Equipment,"1,900",0,0,0
418709 Sale of Materials,418709 Sale of Materials,"7,968","6,000","6,000","6,000"
418901 Cash Over/Under,418901 Cash Over/Under,-461,0,0,0
418999 Miscellaneous Revenue,418999 Miscellaneous Revenue,"31,321","95,000","95,000","95,000"
Org Code 700-00-000-0000-000000-000,Org Code 700-00-000-0000-000000-000,"39,583,494","42,778,761","42,778,761","41,993,794"
,33 Charges For Services,"39,583,494","42,778,761","42,778,761","41,993,794"
GovMax V5,,,,18-70,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,,Budget
,,,Public Utility Fund,Public Utility Fund,,
34 Revenue from Use of Money,34 Revenue from Use of Money,,,,,
700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,,,,
417100 Investment Income-Realized,417100 Investment Income-Realized,"6,320",0,0,,0
Org Code 700-00-000-0000-000000-000,Org Code 700-00-000-0000-000000-000,"6,320",0,0,,0
34 Revenue from Use of Money,34 Revenue from Use of Money,"6,320",0,0,,0
38 Other Financing Sources,38 Other Financing Sources,,,,,
700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,,,,
419115 Proc-Bonds 2001,419115 Proc-Bonds 2001,1,0,0,,0
419121 Proc-Bonds 2005A,419121 Proc-Bonds 2005A,433,0,0,,0
419124 Proc-Bonds 2006A,419124 Proc-Bonds 2006A,"9,051",0,0,,0
419220 Invest Income-2010B,419220 Invest Income-2010B,"37,008",0,0,,0
419250 Build America Bonds Subsidy,419250 Build America Bonds Subsidy,0,0,0,"477,050",
Org Code 700-00-000-0000-000000-000,Org Code 700-00-000-0000-000000-000,"46,492",0,0,"477,050",
,38 Other Financing Sources,"46,492",0,0,"477,050",
40 Recovered Costs,40 Recovered Costs,,,,,
700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,,,,
414205 RC-Construction Project,414205 RC-Construction Project,"3,006","15,000","15,000","3,000",
414235 RC-Insurance Recoveries,414235 RC-Insurance Recoveries,"5,195",0,0,,0
414240 RC-Inventory Utilization,414240 RC-Inventory Utilization,"6,861","25,000","25,000","15,000",
414285 RC-Suffolk Taxes Paid,414285 RC-Suffolk Taxes Paid,"14,786","8,700","8,700","15,000",
414290 RC-Taxes Paid,,"56,565","120,000","120,000","128,000",
Org Code 700-00-000-0000-000000-000,Org Code 700-00-000-0000-000000-000,"86,413","168,700","168,700","161,000",
,40 Recovered Costs,"86,413","168,700","168,700","161,000",
50 Licenses And Permits,50 Licenses And Permits,,,,,
700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,,,,
416145 Permits-Fishing,,"8,994","7,000","7,000","7,000",
Org Code 700-00-000-0000-000000-000,Org Code 700-00-000-0000-000000-000,"8,994","7,000","7,000","7,000",
,50 Licenses And Permits,"8,994","7,000","7,000","7,000",
60 Use Of Property,60 Use Of Property,,,,,
700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,,,,
417802 Rental-Boat,,"2,250","1,000","1,000","1,000",
417804 Rental-Elevated Water Tanks,417804 Rental-Elevated Water Tanks,"47,955","42,192","42,192","42,192",
417805 Rental-Equipment,417805 Rental-Equipment,"1,853","15,000","15,000","15,000",
Org Code 700-00-000-0000-000000-000,Org Code 700-00-000-0000-000000-000,"52,058","58,192","58,192","58,192",
,60 Use Of Property,"52,058","58,192","58,192","58,192",
91 Bond Proceeds,,,,,,
700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,,,,
419237 SNAP Income-2012 COI,419237 SNAP Income-2012 COI,341,0,0,,0
Org Code 700-00-000-0000-000000-000,Org Code 700-00-000-0000-000000-000,341,0,0,,0
,91 Bond Proceeds,341,0,0,,0
GovMax V5,,,,18-71,,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,Budget
,,,Public Utility Fund,Public Utility Fund,
99 Fund Balance,99 Fund Balance,,,,
700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,700-00-000-0000-000000-000 Public Utility Fund,,,
390098 Budgetary Fund Balance,390098 Budgetary Fund Balance,0,"2,013,075","2,013,075","1,000,000"
Org Code 700-00-000-0000-000000-000,Org Code 700-00-000-0000-000000-000,0,"2,013,075","2,013,075","1,000,000"
,99 Fund Balance,0,"2,013,075","2,013,075","1,000,000"
,700 Public Utility Fund,"39,784,111","45,025,728","45,025,728","43,697,036"
,,,,Golf Fund,
33 Charges For Services,33 Charges For Services,,,,
720-00-000-0000-000000-000 Golf Fund,720-00-000-0000-000000-000 Golf Fund,,,,
413055 Fees-Concession,413055 Fees-Concession,"45,000","45,000","45,000","45,000"
413085 Fees-Driving Range,413085 Fees-Driving Range,"65,138","68,561","68,561","65,206"
413120 Fees-Golf,413120 Fees-Golf,"837,046","925,873","925,873","846,000"
413170 Fees-Putting Course,413170 Fees-Putting Course,"1,823","2,816","2,816","2,000"
413900 Contributions,413900 Contributions,"150,329",0,0,0
Org Code 720-00-000-0000-000000-000,Org Code 720-00-000-0000-000000-000,"1,099,335","1,042,250","1,042,250","958,206"
,33 Charges For Services,"1,099,335","1,042,250","1,042,250","958,206"
40 Recovered Costs,40 Recovered Costs,,,,
720-00-000-0000-000000-000 Golf Fund,720-00-000-0000-000000-000 Golf Fund,,,,
414999 RC- Other Recovered Costs,414999 RC- Other Recovered Costs,"2,405",0,0,0
Org Code 720-00-000-0000-000000-000,Org Code 720-00-000-0000-000000-000,"2,405",0,0,0
,40 Recovered Costs,"2,405",0,0,0
60 Use Of Property,60 Use Of Property,,,,
720-00-000-0000-000000-000 Golf Fund,720-00-000-0000-000000-000 Golf Fund,,,,
417803 Rental-Cart,417803 Rental-Cart,"306,703","311,842","311,842","294,050"
417812 Rental-Suffolk Golf Course,417812 Rental-Suffolk Golf Course,"100,000","100,000","100,000","100,000"
Org Code 720-00-000-0000-000000-000,Org Code 720-00-000-0000-000000-000,"406,703","411,842","411,842","394,050"
,60 Use Of Property,"406,703","411,842","411,842","394,050"
90 Operating Transfers In,90 Operating Transfers In,,,,
720-00-000-0000-000000-000 Golf Fund,720-00-000-0000-000000-000 Golf Fund,,,,
499100 Trans Fr General Fund,499100 Trans Fr General Fund,"611,460","1,116,739","1,116,739","1,271,332"
Org Code 720-00-000-0000-000000-000,Org Code 720-00-000-0000-000000-000,"611,460","1,116,739","1,116,739","1,271,332"
,90 Operating Transfers In,"611,460","1,116,739","1,116,739","1,271,332"
,720 Golf Fund,"2,119,903","2,570,831","2,570,831","2,623,588"
GovMax V5,,,,18-72,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",
City of Portsmouth,City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,,FY 2014
Code,Revenue Description,Actual,Adopted,Amended,,Budget
,,,Waste Management Fund,Waste Management Fund,,
32 Intergovernmental Revenue,32 Intergovernmental Revenue,,,,,
740-00-000-0000-000000-000 Waste Management Fund,740-00-000-0000-000000-000 Waste Management Fund,740-00-000-0000-000000-000 Waste Management Fund,,,,
